Protein	Original Contig	Protein FDR Confidence: Combined	Master	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	Modifications	Cd_1	Cd_2	Cd_3	Ni_1	Ni_2	Ni_3	Cr_1	Cr_2	Cr_3	CK_1	CK_2	CK_3
custom_1776680_15	custom_1776680_15	High	IsMasterProtein	0	2.954	2	1	3	1	1	3.69	1	0	-	0	0	0	534	0	302	594	559	0	756	891	804
WP_114971783.1	custom_1581476_1	High	IsMasterProtein	0	2.953	7	1	1	1	1	3.73	1	0	-	1345	0	1489	1645	0	1297	0	0	0	1407	0	0
custom_1659143_2	custom_1659143_2	High	IsMasterProtein	0	2.952	10	1	1	1	1	2.21	1	0	-	1070	1990	2085	188	309	260	0	2144	1662	1755	0	945
custom_1898675_16	custom_1898675_16	High	IsMasterProtein	0	2.952	8	1	1	1	1	2.7	1	0	-	0	0	0	0	0	0	0	0	0	1283	1453	1389
WP_109015333.1	custom_659509_1	High	IsMasterProtein	0	2.952	5	1	1	1	1	2.83	1	0	-	0	1959	2103	0	0	373	0	0	0	0	0	0
custom_1192393_2	custom_1192393_2	High	IsMasterProtein	0	2.949	4	1	2	1	1	4.94	1	0	-	0	0	0	797	988	848	1445	0	2441	0	0	0
WP_019599043.1	custom_2026693_1	High	IsMasterProtein	0	2.947	1	1	1	1	1	2.88	1	0	-	951	722	0	6144	7586	6900	0	0	0	0	0	0
custom_2104144_6	custom_2104144_6	High	IsMasterProtein	0	2.947	14	1	2	1	1	4.49	1	0	-	2076	2087	1600	521	568	626	1170	0	0	4880	5231	4977
custom_484505_156	custom_484505_156	High	IsMasterProtein	0	2.943	3	1	1	1	1	2.54	1	0	-	356	417	423	276	0	306	2356	3657	3816	0	0	229
custom_2356313_4	custom_2356313_4	High	IsMasterProtein	0	2.943	7	1	1	1	1	3.03	1	0	-	1100	1315	1273	0	1970	1894	0	0	0	3244	0	0
PZQ49489.1	custom_1168382_2	High	IsMasterProtein	0	2.942	6	1	1	1	1	2.77	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2200803_16	custom_2200803_16	High	IsMasterProtein	0	2.941	5	1	3	1	1	7.83	1	0	-	1557	1509	1205	0	206	193	0	0	0	0	0	0
custom_1018210_41	custom_1018210_41	High	IsMasterProtein	0	2.939	4	1	1	1	1	2.97	1	0	-	317	365	590	659	856	0	3596	4166	5131	0	0	0
custom_90046_8	custom_90046_8	High	IsMasterProtein	0	2.939	3	1	2	1	1	4.07	1	0	-	0	0	0	0	0	0	0	0	0	928	788	0
OWQ45011.1	custom_1964385_8	High	IsMasterProtein	0	2.938	10	1	1	1	1	2.59	1	0	-	5831	5595	5061	8951	8241	8899	0	2453	0	1678	0	0
OFZ89686.1	custom_924698_4	High	IsMasterProtein	0	2.938	3	1	2	1	1	4.66	1	0	-	1230	933	1112	2679	1630	1461	2616	3292	2704	919	923	638
WP_066217490.1	custom_2213033_4	High	IsMasterProtein	0	2.936	2	1	1	1	1	2.26	1	0	-	0	599	0	184	0	0	2118	2183	3416	693	1029	879
VCU68317.1	custom_1572292_1	High	IsMasterProtein	0	2.936	7	1	2	1	1	6.52	1	0	-	1471	1605	1722	679	707	495	0	0	0	0	0	0
custom_237075_3	custom_237075_3	High	IsMasterProtein	0	2.936	2	1	2	1	1	4.75	1	0	-	0	0	151	1868	1438	1171	5300	6159	5921	273	0	0
WP_076061993.1	custom_2255669_2	High	IsMasterProtein	0	2.934	4	1	2	1	1	5.89	1	0	-	914	988	873	0	0	0	1989	2081	1869	0	0	392
RTL30233.1	custom_2157064_2	High	IsMasterProtein	0	2.934	7	1	1	1	1	0	1	0	-	136	175	225	902	746	1112	0	0	334	0	0	0
custom_1092003_86	custom_1092003_86	High	IsMasterProtein	0	2.934	14	1	1	1	1	2.31	1	0	-	2085	2146	2359	0	217	0	0	0	0	651	675	0
custom_1955425_11	custom_1955425_11	High	IsMasterProtein	0	2.93	4	1	3	1	1	7.61	1	0	-	0	0	1433	0	0	251	0	0	0	3313	3963	3711
WP_134358865.1	custom_1512993_1	High	IsMasterProtein	0	2.93	2	1	1	1	1	2.66	1	0	-	1258	1773	1654	0	0	0	0	0	0	1964	2138	2089
WP_018971258.1	custom_1844335_1	High	IsMasterProtein	0	2.929	3	1	1	1	1	2.5	1	0	-	0	0	0	0	635	668	0	0	0	1967	2025	1872
WP_126978397.1	custom_361906_1	High	IsMasterProtein	0	2.929	8	1	3	1	1	7.82	1	0	-	0	409	361	956	1092	977	650	0	0	1051	1142	795
custom_195406_12	custom_195406_12	High	IsMasterProtein	0	2.929	9	1	10	1	1	21.28	1	0	-	9995	10650	11317	421	0	0	0	0	1709	0	0	0
WP_117609437.1	custom_640261_18	High	IsMasterProtein	0	2.928	7	1	3	1	1	7.09	1	0	-	14775	17669	15400	19029	17518	16803	0	0	0	0	0	0
custom_1274469_56	custom_1274469_56	High	IsMasterProtein	0	2.928	4	1	1	1	1	2.14	1	0	-	1695	1534	1518	0	0	0	14709	16014	12614	813	0	0
custom_1978611_12	custom_1978611_12	High	IsMasterProtein	0	2.927	4	1	1	1	1	2.22	1	0	-	0	0	0	0	0	0	1006	832	1032	915	685	0
KFB69698.1	custom_1019346_2	High	IsMasterProtein	0	2.927	2	1	1	1	1	2.39	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_1155572_24	custom_1155572_24	High	IsMasterProtein	0	2.927	5	1	2	1	1	4.76	1	0	-	2683	3902	3171	1674	1978	1223	19566	21090	28681	4399	5034	3958
WP_117609472.1	custom_2556855_2	High	IsMasterProtein	0	2.926	2	1	6	1	1	13.06	1	0	-	0	0	0	2029	2644	2316	0	0	0	0	0	0
WP_084150661.1	custom_1160865_4	High	IsMasterProtein	0	2.924	12	1	4	1	1	8.66	1	0	-	793	1821	1048	915	948	0	869	918	947	422	0	0
custom_91895_89	custom_91895_89	High	IsMasterProtein	0	2.924	13	1	1	1	1	2.33	1	0	-	341	400	0	593	654	711	0	2055	0	0	0	0
WP_011764774.1	custom_825345_1	High	IsMasterProtein	0	2.923	5	1	2	1	1	5.35	1	0	-	0	0	1779	7369	7152	7985	2594	0	654	1423	1061	0
custom_1876875_36	custom_1876875_36	High	IsMasterProtein	0	2.923	10	1	3	1	1	3.52	1	0	-	0	0	0	1062	862	1056	0	0	0	0	0	0
custom_2092266_5	custom_2092266_5	High	IsMasterProtein	0	2.923	2	1	1	1	1	2.29	1	0	-	0	0	0	1797	0	1115	0	0	0	0	0	0
PZQ30481.1	custom_908364_36	High	IsMasterProtein	0	2.923	22	1	2	1	1	4.9	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_128199588.1	custom_1665241_5	High	IsMasterProtein	0	2.922	5	1	2	1	1	3.78	1	0	-	0	0	0	4492	3176	3428	0	0	0	0	0	0
custom_1719779_4	custom_1719779_4	High	IsMasterProtein	0	2.922	2	1	2	1	1	4.33	1	0	-	231	192	229	345	424	284	1254	679	633	0	91	0
custom_482622_295	custom_482622_295	High	IsMasterProtein	0	2.921	7	1	1	1	1	3.27	1	0	-	368	468	390	0	0	0	0	0	0	0	0	0
WP_129776187.1	custom_2561370_1	High	IsMasterProtein	0	2.92	1	1	5	1	1	10.41	1	0	-	1976	2547	2668	0	0	0	0	0	606	674	725	555
WP_038307058.1	custom_1208461_55	High	IsMasterProtein	0	2.92	5	1	1	1	1	2.83	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_052323694.1	custom_2599097_1	High	IsMasterProtein	0	2.92	2	1	1	1	1	2.31	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_1085231_114	custom_1085231_114	High	IsMasterProtein	0	2.919	9	1	1	1	1	2.19	1	0	-	417	0	1015	927	571	777	1236	0	339	1026	0	782
custom_638976_13	custom_638976_13	High	IsMasterProtein	0	2.918	6	1	8	1	1	16.55	1	0	-	225	0	0	1472	3027	2144	10411	12447	11671	11503	12330	9318
ACB35829.1	custom_849092_7	High	IsMasterProtein	0	2.916	4	1	1	1	1	2.24	1	0	-	1529	1611	1640	0	0	0	0	0	0	1559	1373	1405
custom_1095455_2	custom_1095455_2	High	IsMasterProtein	0	2.916	16	1	2	1	1	5.48	1	0	-	318	386	423	0	0	0	0	0	0	0	0	0
PKO94259.1	custom_1904632_1	High	IsMasterProtein	0	2.915	8	1	1	1	1	2.97	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_828381_28	custom_828381_28	High	IsMasterProtein	0	2.915	2	1	1	1	1	2.09	1	0	-	906	1138	952	1331	1202	1295	0	0	2446	985	0	0
custom_944748_3	custom_944748_3	High	IsMasterProtein	0	2.914	6	1	2	1	1	3.59	1	0	-	12015	10892	12626	0	0	0	0	0	0	300	0	0
WP_129876902.1	custom_1159674_1	High	IsMasterProtein	0	2.914	4	1	4	1	1	10.7	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2569080_2	custom_2569080_2	High	IsMasterProtein	0	2.914	2	1	2	1	1	4.98	1	0	-	0	0	0	3416	3283	2827	0	0	0	0	2543	2345
TAJ83262.1	custom_778120_2	High	IsMasterProtein	0	2.913	5	1	1	1	1	2.35	1	0	-	1042	573	608	0	0	0	1740	1422	985	4558	4258	4460
WP_010487916.1	custom_383640_10	High	IsMasterProtein	0	2.912	5	1	3	1	1	4.51	1	0	-	0	0	93	303	288	348	0	0	0	0	0	0
custom_120454_2	custom_120454_2	High	IsMasterProtein	0	2.911	7	1	2	1	1	4.81	1	0	-	0	0	0	0	0	0	0	0	0	6353	6808	6074
WP_079434701.1	custom_1275980_1	High	IsMasterProtein	0	2.911	6	1	1	1	1	3.28	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2612322_3	custom_2612322_3	High	IsMasterProtein	0	2.909	7	1	3	1	1	7.79	1	0	-	1251	1181	1291	793	625	659	0	0	0	1941	2279	2053
WP_055937232.1	custom_765777_27	High	IsMasterProtein	0	2.909	11	1	1	1	1	2.71	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
EXL01492.1	custom_503243_1	High	IsMasterProtein	0	2.909	9	1	3	1	1	8.6	1	0	-	0	0	0	3722	3067	3444	30366	29506	27758	0	0	0
WP_011869644.1	custom_1039906_1	High	IsMasterProtein	0	2.909	7	1	1	1	1	2.41	1	0	-	2213	2042	1568	651	0	0	0	0	0	1312	1219	1143
WP_136385540.1	custom_2310049_42	High	IsMasterProtein	0	2.909	5	1	3	1	1	5.56	1	0	-	565	672	977	1687	1218	1346	778	0	0	1078	855	850
custom_1850424_28	custom_1850424_28	High	IsMasterProtein	0	2.908	2	1	1	1	1	2.87	1	0	-	178	198	219	0	0	0	0	0	0	0	0	0
custom_943303_19	custom_943303_19	High	IsMasterProtein	0	2.905	8	1	1	1	1	2.56	1	0	-	0	0	0	0	0	0	0	0	0	708	705	672
WP_023401598.1	custom_1967526_1	High	IsMasterProtein	0	2.905	1	1	2	1	1	5.53	1	0	-	0	0	0	1667	1722	2022	0	0	0	0	0	0
TDI66494.1	custom_2627501_1	High	IsMasterProtein	0	2.905	3	1	2	1	1	4.09	1	0	-	3673	4312	4073	233	253	0	3169	4052	3392	1298	1286	0
WP_105730443.1	custom_1609264_1	High	IsMasterProtein	0	2.904	3	1	1	1	1	2.74	1	0	-	0	399	0	2449	0	321	1288	2727	1048	0	408	0
custom_2633266_4	custom_2633266_4	High	IsMasterProtein	0	2.903	6	1	3	1	1	7.95	1	0	-	2518	2526	2993	0	0	552	0	0	0	1924	0	0
WP_028982056.1	custom_1498797_138	High	IsMasterProtein	0	2.902	12	1	2	1	1	4.22	1	0	-	1147	0	1558	432	0	617	7334	8563	9789	0	0	0
custom_720731_3	custom_720731_3	High	IsMasterProtein	0	2.902	4	1	1	1	1	2.25	1	0	-	0	0	317	0	0	0	983	925	1096	897	670	0
OIO78136.1	custom_296853_15	High	IsMasterProtein	0	2.902	2	1	2	1	1	2.33	1	0	-	27127	28916	28313	75006	72347	76267	0	0	0	23558	24102	21307
WP_016533924.1	custom_692855_1	High	IsMasterProtein	0	2.901	5	1	1	1	1	1.85	1	0	-	0	0	0	0	163	0	0	0	0	0	300	443
custom_449290_7	custom_449290_7	High	IsMasterProtein	0	2.9	4	1	1	1	1	2.39	1	0	-	8361	8568	7385	0	160	152	0	0	0	1023	1041	1242
EXI76593.1	custom_2004585_5	High	IsMasterProtein	0	2.899	14	1	1	1	1	2.89	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
PKO33771.1	custom_1272852_1	High	IsMasterProtein	0	2.898	5	1	3	1	1	9.12	1	0	-	1338	1616	1879	949	1075	767	0	0	0	4473	4000	4875
WP_014235289.1	custom_2557752_1	High	IsMasterProtein	0	2.897	4	1	1	1	1	2.11	1	0	-	547	594	0	1249	1142	863	977	0	0	0	0	0
custom_1293958_4	custom_1293958_4	High	IsMasterProtein	0	2.897	6	1	2	1	1	1.94	1	0	-	3098	2938	2912	0	0	0	0	0	0	0	0	0
custom_1230337_39	custom_1230337_39	High	IsMasterProtein	0	2.896	6	1	2	1	1	4.39	1	0	-	5903	5801	6589	0	0	0	0	0	0	0	0	0
WP_066882430.1	custom_941220_2	High	IsMasterProtein	0	2.895	3	1	2	1	1	4.41	1	0	-	3412	3437	3042	0	0	0	6998	6066	0	1601	1777	1673
PPD53194.1	custom_840228_2	High	IsMasterProtein	0	2.895	3	1	1	1	1	3.82	1	0	-	646	783	794	0	227	0	3016	0	2500	0	0	351
custom_356897_22	custom_356897_22	High	IsMasterProtein	0	2.895	8	1	2	1	1	4.73	1	0	-	3504	3512	4101	36591	43802	38613	0	0	0	264563	247884	250879
OFZ71694.1	custom_227508_1	High	IsMasterProtein	0	2.891	2	1	2	1	1	4.72	1	0	-	0	0	0	268	132	186	0	0	307	0	0	0
WP_081321721.1	custom_830672_8	High	IsMasterProtein	0	2.891	5	1	2	1	1	4.77	1	0	-	991	1050	1037	1858	894	1064	2006	3490	4048	0	0	0
custom_1455069_9	custom_1455069_9	High	IsMasterProtein	0	2.891	17	1	2	1	1	6.18	1	0	-	0	0	0	0	0	0	0	0	0	1112	0	969
PKO81323.1	custom_620541_1	High	IsMasterProtein	0	2.89	2	1	1	1	1	2.95	1	0	-	599	683	769	0	0	242	1789	809	980	0	0	165
RTL57769.1	custom_640984_31	High	IsMasterProtein	0	2.889	4	1	2	1	1	4.69	1	0	-	1709	1576	1600	1909	1923	1868	0	0	0	1692	2084	2312
custom_889862_30	custom_889862_30	High	IsMasterProtein	0	2.887	7	1	2	1	1	2.42	1	0	-	1416	749	0	0	0	0	3348	4135	4569	1425	1531	1751
EIJ36715.1	custom_2450406_1	High	IsMasterProtein	0	2.886	2	1	1	1	1	2.68	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
OHE90199.1	custom_2378748_2	High	IsMasterProtein	0	2.886	3	1	1	1	1	1.71	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2084498_1	custom_2084498_1	High	IsMasterProtein	0	2.884	8	1	2	1	1	4.35	1	0	-	0	0	0	0	0	0	0	0	0	667	690	500
SOD78025.1	custom_1005686_1	High	IsMasterProtein	0	2.883	2	1	1	1	1	3.07	1	0	-	576	610	689	0	0	0	8489	7327	6649	0	178	106
WP_011482933.1	custom_1552151_2	High	IsMasterProtein	0	2.883	5	1	2	1	1	3.72	1	0	-	0	0	0	0	637	731	1403	1036	1064	944	0	1038
WP_088746618.1	custom_2203997_58	High	IsMasterProtein	0	2.882	2	1	1	1	1	1.84	1	0	-	0	0	671	0	0	0	0	0	0	2234	2275	2370
custom_103999_19	custom_103999_19	High	IsMasterProtein	0	2.88	5	1	1	1	1	2.76	1	0	-	430	423	385	0	432	410	0	0	0	0	0	0
WP_015928039.1	custom_2162134_1	High	IsMasterProtein	0	2.877	10	1	2	1	1	5.22	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_1891985_26	custom_1891985_26	High	IsMasterProtein	0	2.876	8	1	2	1	1	3.56	1	0	-	3141	2889	2753	1768	1436	1571	0	0	0	4129	4130	3958
PYM30792.1	custom_2123305_2	High	IsMasterProtein	0	2.874	3	1	3	1	1	5.11	1	0	-	0	1074	979	0	0	0	0	0	0	850	1037	1113
RJP70420.1	custom_1788900_2	High	IsMasterProtein	0	2.873	6	1	2	1	1	2.48	1	0	-	3071	3309	0	254	0	0	7309	5377	1764	691	416	508
OJW31323.1	custom_291555_31	High	IsMasterProtein	0	2.873	3	1	1	1	1	2.6	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
PZR36865.1	custom_2168183_1	High	IsMasterProtein	0	2.87	1	1	2	1	1	5.23	1	0	-	4779	5174	5214	1328	0	0	0	0	0	0	0	0
WP_087474492.1	custom_1271078_8	High	IsMasterProtein	0	2.869	8	1	2	1	1	4.6	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
PKO94713.1	custom_1112765_1	High	IsMasterProtein	0	2.868	7	1	1	1	1	1.99	1	0	-	499	0	289	589	470	488	0	0	0	608	870	188
custom_1232496_3	custom_1232496_3	High	IsMasterProtein	0	2.868	10	1	1	1	1	1.94	1	0	-	1663	0	0	0	0	0	0	2525	2057	1345	1271	975
CDD22539.1	custom_2478354_2	High	IsMasterProtein	0	2.867	4	1	1	1	1	0	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_084651312.1	custom_482622_303	High	IsMasterProtein	0	2.867	2	1	2	1	1	5.8	1	0	-	1451	1742	1164	0	0	0	26556	31225	29354	5987	5666	5373
AKU14305.1	custom_41555_32	High	IsMasterProtein	0	2.867	4	1	1	1	1	1.78	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_576760_3	custom_576760_3	High	IsMasterProtein	0	2.866	4	1	3	1	1	6.65	1	0	-	2477	2126	2332	7162	8187	4565	0	0	0	260	318	565
custom_787351_2	custom_787351_2	High	IsMasterProtein	0	2.865	1	1	3	1	1	5	1	0	-	1055	1126	805	0	192	0	0	0	0	0	0	0
custom_1659485_6	custom_1659485_6	High	IsMasterProtein	0	2.864	12	1	3	1	1	6.59	1	0	-	6	9	0	422	463	534	0	1502	10139	4548	2140	1836
custom_998907_21	custom_998907_21	High	IsMasterProtein	0	2.863	23	1	1	1	1	2.79	1	0	-	315	0	995	379	163	278	6415	7239	6591	4144	3863	3914
WP_082296341.1	custom_2360576_2	High	IsMasterProtein	0	2.862	2	1	2	1	1	4.69	1	0	-	236	0	0	433	459	506	0	0	0	0	0	0
WP_106748152.1	custom_1516975_24	High	IsMasterProtein	0	2.862	6	1	1	1	1	1.73	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
KGL37147.1	custom_66495_5	High	IsMasterProtein	0	2.861	6	1	1	1	1	3.51	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
AYZ65360.1	custom_1603211_2	High	IsMasterProtein	0	2.861	7	1	2	1	1	2.58	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2251893_35	custom_2251893_35	High	IsMasterProtein	0	2.861	11	1	1	1	1	2.66	1	0	-	907	538	554	0	1196	776	931	0	1013	602	524	523
WP_127785983.1	custom_1679092_1	High	IsMasterProtein	0	2.86	3	1	4	1	1	10.11	1	0	-	6783	6406	7326	0	0	327	0	0	0	0	0	0
custom_807808_2	custom_807808_2	High	IsMasterProtein	0	2.86	15	1	2	1	1	6	1	0	-	0	0	0	770	752	780	0	0	0	86	149	0
WP_020411038.1	custom_2451266_3	High	IsMasterProtein	0	2.859	6	1	1	1	1	2.61	1	0	-	0	0	0	0	0	0	1080	924	526	0	0	0
PZN01905.1	custom_1121375_1	High	IsMasterProtein	0	2.858	2	1	1	1	1	2.12	1	0	-	0	4733	3556	0	484	0	0	0	0	8562	7765	7733
WP_051453112.1	custom_14844_2	High	IsMasterProtein	0	2.858	6	1	3	1	1	7.25	1	0	-	595	0	3265	1314	390	0	58256	69935	60077	3493	3718	2474
OYW54853.1	custom_913438_14	High	IsMasterProtein	0	2.858	7	1	1	1	1	2.7	1	0	-	0	0	0	0	0	0	3230	2010	2119	1179	1193	924
OGP81816.1	custom_1424274_1	High	IsMasterProtein	0	2.856	4	1	3	1	1	6.53	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_121312462.1	custom_2033766_1	High	IsMasterProtein	0	2.856	4	1	2	1	1	4.72	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2591797_35	custom_2591797_35	High	IsMasterProtein	0	2.856	2	1	1	1	1	2.55	1	0	-	388	0	0	381	0	302	0	1311	1333	0	995	608
OQY06415.1	custom_705419_1	High	IsMasterProtein	0	2.854	2	1	1	1	1	2.52	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
EXI76574.1	custom_924095_1	High	IsMasterProtein	0	2.854	4	1	2	1	1	4.01	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
RYZ82537.1	custom_956583_1	High	IsMasterProtein	0	2.853	8	1	2	1	1	5.07	1	0	-	528	440	507	0	0	0	1312	1155	1381	0	0	0
WP_088747934.1	custom_2124498_3	High	IsMasterProtein	0	2.852	5	1	1	1	1	2.57	1	0	-	4348	3512	4070	0	0	0	0	0	0	1654	2317	1845
PCJ63515.1	custom_1390186_2	High	IsMasterProtein	0	2.851	9	1	2	1	1	4.81	1	0	-	0	0	0	1273	1350	1281	4471	3780	3943	6106	4689	3910
custom_651272_19	custom_651272_19	High	IsMasterProtein	0	2.849	9	1	1	1	1	2.36	1	0	-	597	585	481	384	0	0	1619	1753	1197	702	665	608
custom_2069471_5	custom_2069471_5	High	IsMasterProtein	0	2.849	5	1	1	1	1	2.88	1	0	-	0	468	0	1660	1684	1154	0	0	0	1125	447	0
WP_012206854.1	custom_1236098_1	High	IsMasterProtein	0	2.848	5	1	1	1	1	2.67	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
OFW88241.1	custom_2334264_2	High	IsMasterProtein	0	2.846	13	1	2	1	1	4.34	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_130154123.1	custom_2333542_4	High	IsMasterProtein	0	2.845	2	1	2	1	1	5.39	1	0	-	906	871	1083	0	0	0	0	0	0	1855	2095	1842
custom_849948_11	custom_849948_11	High	IsMasterProtein	0	2.844	5	1	4	1	1	7.69	1	0	-	523	349	543	959	822	785	0	0	0	634	524	0
custom_301458_11	custom_301458_11	High	IsMasterProtein	0	2.843	1	1	1	1	1	2.52	1	0	-	458	265	546	0	0	0	0	1567	942	0	0	0
RLB93383.1	custom_1131889_14	High	IsMasterProtein	0	2.842	4	1	1	1	1	2.15	1	0	-	0	0	0	0	0	0	1026	0	0	0	1498	1622
OJW52383.1	custom_653321_1	High	IsMasterProtein	0	2.84	3	1	10	1	1	20.03	1	0	-	183182	183036	184706	1432	1219	1300	729	0	0	816	0	702
WP_108509115.1	custom_570160_1	High	IsMasterProtein	0	2.84	1	1	2	1	1	4.6	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_072608027.1	custom_1000348_29	High	IsMasterProtein	0	2.84	5	1	2	1	1	4.83	1	0	-	0	0	0	2392	1631	0	0	0	0	0	0	0
custom_521462_1	custom_521462_1	High	IsMasterProtein	0	2.839	12	1	2	1	1	5.1	1	0	-	0	1096	1171	0	642	551	1173	629	0	0	528	0
WP_036265932.1	custom_635568_2	High	IsMasterProtein	0	2.837	6	1	1	1	1	2.11	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_196571_111	custom_196571_111	High	IsMasterProtein	0	2.835	4	1	3	1	1	6.89	1	0	-	0	0	0	840	1342	1494	0	0	0	370	377	450
custom_2012900_7	custom_2012900_7	High	IsMasterProtein	0	2.834	7	1	3	1	1	8.63	1	0	-	971	1090	1094	729	0	0	1430	0	1569	0	0	0
WP_007941356.1	custom_2341691_1	High	IsMasterProtein	0	2.832	2	1	9	1	1	20.88	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_047412011.1	custom_706471_2	High	IsMasterProtein	0	2.832	3	1	2	1	1	4.7	1	0	-	0	0	0	422	306	402	0	0	0	0	277	0
TAG09552.1	custom_984528_9	High	IsMasterProtein	0	2.83	3	1	1	1	1	1.91	1	0	-	0	0	0	0	205	206	0	0	0	597	471	351
OQW39827.1	custom_1700435_1	High	IsMasterProtein	0	2.83	5	1	1	1	1	2.47	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
RTL24157.1	custom_124478_1	High	IsMasterProtein	0	2.828	5	1	3	1	1	7.41	1	0	-	5181	4683	6214	3417	2614	2497	373	0	315	2110	1931	2345
custom_2641381_3	custom_2641381_3	High	IsMasterProtein	0	2.828	15	1	5	1	1	12.47	1	0	-	4189	4076	3433	2418	1909	2081	0	0	0	0	0	0
RYY83471.1	custom_1199133_1	High	IsMasterProtein	0	2.827	5	1	3	1	1	6.96	1	0	-	2006	1828	1988	0	0	0	4088	4213	4108	0	0	0
custom_2058868_14	custom_2058868_14	High	IsMasterProtein	0	2.827	4	1	1	1	1	2.42	1	0	-	0	0	0	0	0	0	0	0	0	0	1282	996
custom_2418293_135	custom_2418293_135	High	IsMasterProtein	0	2.827	3	1	3	1	1	4.74	1	0	-	443	488	418	0	0	0	4181	3630	3400	0	0	0
WP_108508045.1	custom_1693869_1	High	IsMasterProtein	0	2.827	3	1	3	1	1	7.89	1	0	-	3888	3740	3545	0	0	0	0	0	0	0	0	0
WP_011827938.1	custom_1409432_98	High	IsMasterProtein	0	2.826	1	1	1	1	1	2.02	1	0	-	0	850	0	1858	2321	2446	0	0	0	2106	1914	2524
WP_027458125.1	custom_1625731_14	High	IsMasterProtein	0	2.825	8	1	1	1	1	2.15	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_133796189.1	custom_1938023_5	High	IsMasterProtein	0	2.825	9	1	1	1	1	3.03	1	0	-	2090	1885	1557	0	0	0	1789	1217	1251	863	811	983
PZN02503.1	custom_1184975_21	High	IsMasterProtein	0	2.825	4	1	1	1	1	1.98	1	0	-	722	819	787	0	0	0	0	554	536	0	0	0
custom_712779_116	custom_712779_116	High	IsMasterProtein	0	2.82	3	1	1	1	1	2.44	1	0	-	6509	5726	4740	7255	6261	6222	14210	17187	15152	0	0	2514
custom_1984032_8	custom_1984032_8	High	IsMasterProtein	0	2.82	3	1	5	1	1	11.44	1	0	-	0	0	0	21628	24350	23198	0	0	0	0	0	0
WP_082181565.1	custom_2303073_4	High	IsMasterProtein	0	2.82	9	1	2	1	1	5.9	1	0	-	0	0	0	0	0	388	0	0	4257	6881	6503	6319
WP_009552028.1	custom_445868_1	High	IsMasterProtein	0	2.819	5	1	1	1	1	1.83	1	0	-	1054	1280	1224	427	0	0	11870	8268	8876	872	593	0
WP_043104313.1	custom_1685825_3	High	IsMasterProtein	0	2.817	11	1	1	1	1	2.71	1	0	-	0	221	0	2393	2119	2368	0	0	0	0	0	0
WP_108178562.1	custom_405749_2	High	IsMasterProtein	0	2.816	7	1	5	1	1	10.52	1	0	-	620	0	1183	2121	1783	1863	149870	152875	102823	1873	1522	1642
PIR38423.1	custom_1206014_3	High	IsMasterProtein	0	2.814	15	1	1	1	1	2.92	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_073269215.1	custom_703585_1	High	IsMasterProtein	0	2.813	5	1	1	1	1	2.43	1	0	-	0	0	431	691	819	829	0	0	0	223	355	225
SJM95361.1	custom_945203_3	High	IsMasterProtein	0	2.813	2	1	1	1	1	2.88	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_013800101.1	custom_1726089_66	High	IsMasterProtein	0	2.812	9	1	1	1	1	1.98	1	0	-	-	-	-	-	-	-	-	-	-	-	-	-
